ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2022
1,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of N2O,0.00097
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e,0.23031
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CO2,0.22999
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CH4,0.00018
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of N2O,0.00014
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e,0.21449
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e of CO2,0.21419
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e of CH4,0.00017
1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e of N2O,0.00013
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e,2539.25
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e of CO2,2534.47
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e of CH4,3.44
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e of N2O,1.34
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e,2.01574
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e of CO2,2.01193
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e of CH4,0.00274
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e of N2O,0.00107
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e,0.20227
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e of CO2,0.20188
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e of CH4,0.00028
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e of N2O,0.00011
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e,0.18254
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e of CO2,0.18219
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e of CH4,0.00025
1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e of N2O,0.0001
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e,2559.17
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e of CO2,2554.39
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e of CH4,3.44
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e of N2O,1.34
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e,2.03155
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e of CO2,2.02774
1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e of CH4,0.00274
